MVC found so far has 178 elements        process 1, thread 0
MVC found so far has 177 elements        process 2, thread 0
MVC found so far has 168 elements        process 5, thread 0
MVC found so far has 178 elements        process 1, thread 0
MVC found so far has 177 elements        process 4, thread 0
MVC found so far has 173 elements        process 5, thread 0
MVC found so far has 168 elements        process 2, thread 0
MVC found so far has 173 elements        process 3, thread 0
MVC found so far has 168 elements        process 5, thread 0
MVC found so far has 174 elements        process 5, thread 0
MVC found so far has 173 elements        process 5, thread 0
MVC found so far has 168 elements        process 2, thread 0
MVC found so far has 177 elements        process 2, thread 0
MVC found so far has 176 elements        process 2, thread 0
MVC found so far has 168 elements        process 3, thread 0
MVC found so far has 178 elements        process 1, thread 0
MVC found so far has 173 elements        process 2, thread 0
MVC found so far has 168 elements        process 5, thread 0
MVC found so far has 178 elements        process 1, thread 0
MVC found so far has 168 elements        process 2, thread 0
MVC found so far has 178 elements        process 1, thread 0
MVC found so far has 177 elements        process 4, thread 0
MVC found so far has 174 elements        process 3, thread 0
MVC found so far has 168 elements        process 2, thread 0
MVC found so far has 178 elements        process 1, thread 0
MVC found so far has 168 elements        process 2, thread 0
